Organization Name,Organization Name URL,Number of Employees,Heat Score Tier,Operating Status,IPO Status,Headquarters Location,Industries,Description,CB Rank (Organization),Stage,CB Rank (Company)
MISSO,https://www.crunchbase.com/organization/misso,1001-5000,High,Active,Private,"Houston, Texas, United States","Consulting, Education, Small and Medium Businesses",MISSO provides an atmosphere of fellowship and scholarship in learning.,"805,721",,"771,765"
Nova Asset Management,https://www.crunchbase.com/organization/nova-asset-management,251-500,High,Active,Private,"Houston, Texas, United States","Building Material, Property Management, Real Estate",Nova Asset Management operates as a management of apartment properties and office buildings in Houston.,"807,874",,"773,870"
"Bayou City Bolt & Supply Co., Inc.",https://www.crunchbase.com/organization/bayou-city-bolt-supply-co-inc,101-250,High,Active,Private,"Houston, Texas, United States","E-Commerce, Manufacturing","We also offer the lowest minimums in the industry, and sell by the piece or in bulk - you buy only the fasteners you need! ","808,220",,"774,214"
Priority Energy Services,https://www.crunchbase.com/organization/priority-energy-services,501-1000,High,Active,Private,"Houston, Texas, United States","Energy, Service Industry",Priority Energy Services is a nitrogen services company.,"810,124",,"775,984"
Wastewater Transport Services,https://www.crunchbase.com/organization/wastewater-transport-services,101-250,High,Active,Private,"Houston, Texas, United States",Environmental Consulting,Wastewater Transport Services provides non-hazardous liquid waste transportation and disposal in Texas.,"817,373",,"783,070"
Crescent Directional Drilling,https://www.crunchbase.com/organization/crescent-directional-drilling,501-1000,High,Active,Private,"Houston, Texas, United States","Energy, Renewable Energy",Crescent Directional Drilling is an oil & energy company that provides horizontal drilling services.,"822,545",,"788,229"
Deckhouse Ship Supply,https://www.crunchbase.com/organization/deckhouse-ship-supply,101-250,High,Active,Private,"Houston, Texas, United States","Electronics, Freight Service, Logistics, Marine Transportation","Deckhouse Ship Supply is a marine supply store that provides provisions, stationery items, appliances, and technical items.","824,315",,"789,868"
CLAI Payments,https://www.crunchbase.com/organization/clai-payments,101-250,High,Active,Private,"Houston, Texas, United States","E-Commerce, Financial Services, Payments, Point of Sale","CLAI Payments offers digital payment solutions, POS systems and ATM management for financial and retail companies.","827,230",,"792,790"
Kurvers,https://www.crunchbase.com/organization/kurvers,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Energy, Industrial, Industrial Engineering, Industrial Manufacturing, Oil and Gas",Kurvers operates a group of companies that specializes in pipeline solutions for projects in the petrochemical and energy industries.,"827,452",,"792,930"
Houston Christian High School,https://www.crunchbase.com/organization/houston-christian-high-school,101-250,High,Active,Private,"Houston, Texas, United States",Education,"HCHS is an independent, non-profit, coeducational, private day school which educates students in grades 9-12.","827,811",,"793,271"
BirdView Technologies,https://www.crunchbase.com/organization/birdview-technologies,101-250,High,Active,Private,"Houston, Texas, United States","Consumer Applications, Lead Management, Marketing, Software","BIRDVIEW Technologies, Inc. develops, licenses, and supports a range of Internet-based software products.","828,489",,"794,023"
Southwest Galvanizing,https://www.crunchbase.com/organization/southwest-galvanizing,101-250,High,Active,Private,"Houston, Texas, United States","Customer Service, Industrial",Southwest Galvanizing provides cathodic protection for metal products and equipment.,"832,911",,"798,264"
Enterprise Offshore Drilling,https://www.crunchbase.com/organization/enterprise-offshore-drilling,501-1000,High,Active,Private,"Houston, Texas, United States","Energy, Oil and Gas",Enterprise Offshore currently operates a fleet of offshore drilling rigs in the Gulf of Mexico.,"833,064",,"798,488"
Cinco Energy Management Group,https://www.crunchbase.com/organization/cinco-energy,251-500,High,Active,Private,"Houston, Texas, United States","Energy, Oil and Gas, Renewable Energy, Solar, Wind Energy",Cinco Energy Management Group provides comprehensive title and land management services.,"835,898",,"801,175"
"Warwick Construction, Inc.",https://www.crunchbase.com/organization/warwick-construction-inc,101-250,High,Active,Private,"Houston, Texas, United States",Real Estate,"Warwick Construction, Inc. is a construction firm dealing in remodels for retailers, developers and franchisees.","836,875",,"802,130"
Fireproof Contractors,https://www.crunchbase.com/organization/fireproof-contractors,251-500,High,Active,Private,"Houston, Texas, United States","Building Material, Construction, Public Safety","Fireproof Contractors is a construction company that offers thermal insulation, fireproofing, waterproofing, fire-stopping, and spray foam.","837,406",,"802,644"
GALPERTI,https://www.crunchbase.com/organization/galperti,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Industrial, Manufacturing","Galperti group produces flanges, valves, rails, bearings and special forged products.","840,933",,"806,083"
NewQuest Crosswell,https://www.crunchbase.com/organization/newquest-crosswell,251-500,High,Active,Private,"Houston, Texas, United States","Commercial Real Estate, Property Management, Real Estate","NewQuest Crosswell is a real estate investment firm that develops, manages, and invests in real property.","843,737",,"808,913"
DMB Insurance Agency,https://www.crunchbase.com/organization/dmb-insurance-agency,251-500,High,Active,Private,"Houston, Texas, United States","Health Insurance, Insurance, Life Insurance, Training","DMB Insurance Agency is a life, and final expense professionals.","845,777",,"810,907"
Ytterberg Deery Knull,https://www.crunchbase.com/organization/ytterberg-deery-knull,251-500,High,Active,Private,"Houston, Texas, United States","Law Enforcement, Legal, Professional Services",Ytterberg Deery Knull provides individuals and families and their fiduciaries with legal strategy and meaningful solutions.,"847,084",,"812,093"
McDugald Steele,https://www.crunchbase.com/organization/mcdugald-steele,101-250,High,Active,Private,"Houston, Texas, United States","Architecture, Construction, Landscaping","McDugald Steele is an architectural firm that specializes in landscape design, creation & management of residential and commercial gardens.","849,931",,"814,876"
Unified Residential Management,https://www.crunchbase.com/organization/unified-residential-management,101-250,High,Active,Private,"Houston, Texas, United States","Asset Management, Construction, Market Research, Residential","Unified Residential Management provides property operations, asset management, construction, market research, and consulting services.","851,692",,"816,679"
Certus Energy Solutions,https://www.crunchbase.com/organization/certus-energy-solutions,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Manufacturing, Oil and Gas",Certus Energy Solutions is an oilfield equipment rental company that are into OCTG products and related services.,"855,272",,"820,175"
Lakey Electric,https://www.crunchbase.com/organization/lakey-electric,251-500,High,Active,Private,"Houston, Texas, United States","Commercial, Construction, Graphic Design",Lakey Electric is an electric design and construction company.,"856,860",,"821,634"
Williams Brothers Construction,https://www.crunchbase.com/organization/williams-brothers-construction,1001-5000,High,Active,Private,"Houston, Texas, United States","Construction, Service Industry","Williams Brothers Construction is a construction firm that builds the bridge, road, and project constructions.","857,812",,"822,651"
National Mail Advertising,https://www.crunchbase.com/organization/national-mail-advertising,101-250,High,Active,Private,"Houston, Texas, United States","Advertising, Printing, Virtual Reality","National Mail Advertising specializes in data processing, laser imaging, printing, virtual tour and mailing services.","857,914",,"822,753"
Nearterm Corporation,https://www.crunchbase.com/organization/nearterm-corporation,101-250,High,Active,Private,"Houston, Texas, United States","Health Care, Medical","Nearterm Corporation is a hospital & health care company providing interim, medical coding, and direct hiring solutions.","861,068",,"825,845"
Enterprise Logic,https://www.crunchbase.com/organization/enterprise-logic,101-250,High,Active,Private,"Houston, Texas, United States","Apps, Consulting, IT Infrastructure, Software, Staffing Agency","Enterprise Logic offers IT infrastructure, consulting, staff augmentation, business intelligence, application and business process services.","863,315",,"828,037"
Peregrine Healthcare,https://www.crunchbase.com/organization/peregrine-healthcare,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Emergency Medicine, Health Care, Marketing, Professional Services","Peregrine Healthcare offers consulting, marketing, branding, revenue cycle and practice management services to physician practitioners.","865,162",,"829,837"
Great Western Valve,https://www.crunchbase.com/organization/great-western-valve,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Renewable Energy",Great Western Valve is an oil & energy company offering control and pipeline valves.,"866,199",,"830,756"
Lange Mechanical Services,https://www.crunchbase.com/organization/lange-mechanical-services,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Real Estate",Lange Mechanical Services is a construction firm providing flexible and scalable mechanical and building services.,"868,015",,"832,633"
Letsos Company,https://www.crunchbase.com/organization/letsos-company,251-500,High,Active,Private,"Houston, Texas, United States","Construction, Facilities Support Services, Heating, Ventilation, and Air Conditioning (HVAC)","Letsos Company provides air conditioning, heating & refrigeration services for commercial, institutional, medical & industrial projects.","868,194",,"832,808"
Jararr & Company,https://www.crunchbase.com/organization/jararr-company,101-250,High,Active,Private,"Houston, Texas, United States","Commercial, Construction, Home Renovation","Jararr & Company provides heavy commercial new construction, remodeling, design builds, engineering, and fabrication services.","868,607",,"833,211"
Veritas Lab Corporation,https://www.crunchbase.com/organization/veritas-lab-corporation,5001-10000,High,Active,Private,"Houston, Texas, United States","Health Care, Medical","Veritas Lab is a network of laboratories, facilitate DNA paternity, urine and hair follicle drug and alcohol tests.","869,951",,"834,529"
Houston Inspection Field Services,https://www.crunchbase.com/organization/houston-inspection-field-services,251-500,High,Active,Private,"Houston, Texas, United States","Energy, Real Estate, Renewable Energy",Houston Inspection Field Services is an oil & energy company specializing in construction management and field inspection services.,"873,126",,"837,532"
Icon Health Services,https://www.crunchbase.com/organization/icon-health-services,101-250,High,Active,Private,"Houston, Texas, United States","Child Care, Health Care, Home Health Care, Nursing and Residential Care","Icon Health Services provides post-surgical nursing, tracheotomy care, respiratory, and nebulizer treatment services.","873,431",,"837,834"
Sandelius Instruments,https://www.crunchbase.com/organization/sandelius-instruments,101-250,High,Active,Private,"Houston, Texas, United States","Industrial Engineering, Industrial Manufacturing, Manufacturing","Sandelius Instruments specializes in the design and manufacturing of Thermowells, thermocouples, sample probes, and accessories products.","877,348",,"841,656"
Gulf Coast Modification,https://www.crunchbase.com/organization/gulf-coast-modification,101-250,High,Active,Private,"Houston, Texas, United States","Business Development, Industrial, Manufacturing, Professional Services","Gulf Coast Modification provides extensive services for industrial valves modifications, cleaning, coating, inspection, and testing.","879,038",,"843,312"
US AutoLogistics,https://www.crunchbase.com/organization/us-autologistics,501-1000,High,Active,Private,"Houston, Texas, United States",Transportation,"US AutoLogistics (USAL) is a premier, privately held OEM automobile transportation logistics company.","883,138",,"847,329"
Tarinika,https://www.crunchbase.com/organization/tarinika-31ff,101-250,High,Active,Private,"Houston, Texas, United States",E-Commerce,Tarinika is an online jewelry store that’s your one-stop shop for all your fashion jewelry needs. If you are looking to buy Indian jewelry.,"883,841",,"848,024"
Robertson Anschutz Vetters,https://www.crunchbase.com/organization/robertson-anschutz-vetters,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Document Preparation, Legal",Robertson Anschutz Vetters is a legal service company.,"887,391",,"851,494"
"South Land Title, LLC",https://www.crunchbase.com/organization/south-land-title-llc,101-250,High,Active,Private,"Houston, Texas, United States",Real Estate,"South Land Title, LLC is a real estate firm operating in Houston.","888,620",,"852,787"
GWR Management,https://www.crunchbase.com/organization/gwr-management,101-250,High,Active,Private,"Houston, Texas, United States","Property Management, Real Estate, Real Estate Investment",GWR Management provides property management services.,"890,350",,"854,380"
Doggett Ford,https://www.crunchbase.com/organization/doggett-ford,101-250,High,Active,Private,"Houston, Texas, United States","Automotive, Commercial, Manufacturing, Service Industry","Doggett Ford is an automotive manufacturing and distribution company that provides used and new vehicles, parts, and accessories.","892,772",,"856,752"
EHRA,https://www.crunchbase.com/organization/ehra,101-250,High,Active,Private,"Houston, Texas, United States","Civil Engineering, Construction, Service Industry","EHRA offers civil engineering, land surveying, low-impact development, land planning and construction phase services.","894,061",,"858,014"
First Class Tours,https://www.crunchbase.com/organization/first-class-tours,101-250,High,Active,Private,"Houston, Texas, United States","Rental, Transportation, Travel",First Class Tours provides bus transportation services.,"894,774",,"858,797"
PEMEX Procurement International,https://www.crunchbase.com/organization/pemex-procurement-international,101-250,High,Active,Private,"Houston, Texas, United States","Management Consulting, Procurement",PEMEX Procurement International provides procurement services to PEMEX.,"895,818",,"859,817"
The Service Center,https://www.crunchbase.com/organization/the-service-center-26d9,101-250,High,Active,Private,"Houston, Texas, United States","Advertising, CRM, E-Commerce, E-Commerce Platforms, Information Technology, Marketing, Product Management, Real Time, Web Development","Incentive Marketing, Fulfillment Services, Ecommerce Fulfillment, Communication & Donation Management","895,913",,"859,820"
"U.S. Bellows, Inc.",https://www.crunchbase.com/organization/u-s-bellows-inc,251-500,High,Active,Private,"Houston, Texas, United States",Manufacturing,"U.S. Bellows, Inc. is a design and manufacturing company with an emphasis on expansion joints.","896,695",,"860,677"
"Loadmaster Universal Rigs, Inc.",https://www.crunchbase.com/organization/loadmaster-universal-rigs-inc,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Renewable Energy",Loadmaster Universal Rigs is an oil & energy company providing offshore rig design and construction services.,"897,028",,"860,994"
Region 4,https://www.crunchbase.com/organization/region-4,251-500,High,Active,Private,"Houston, Texas, United States","Charter Schools, Education, Professional Services",Region 4 focuses on helping educators solve instructional challenges and support school leaders to provide education to all students.,"897,202",,"861,171"
Patriot Title,https://www.crunchbase.com/organization/patriot-title,101-250,High,Active,Private,"Houston, Texas, United States","Commercial, Document Preparation, Property Management, Real Estate","Patriot Title provides property title searching, mobile notary, and real estate document preparation services.","898,170",,"862,017"
River Oaks Hospital & Clinics,https://www.crunchbase.com/organization/river-oaks-hospital-clinics,101-250,High,Active,Private,"Houston, Texas, United States","Health Care, Hospital, Medical",River Oaks Hospital & Clinics is a healthcare institution providing a range of healthcare and medical services.,"898,945",,"862,775"
The Shape of Behavior,https://www.crunchbase.com/organization/the-shape-of-behavior,101-250,High,Active,Private,"Houston, Texas, United States","Fitness, Health Care, Mental Health",The Shape of Behavior is a mental health care company specializing in behavioural medicine and behavioral therapy services.,"899,585",,"863,401"
Anchor Banc,https://www.crunchbase.com/organization/anchor-banc,101-250,High,Active,Private,"Houston, Texas, United States","Commercial Lending, Finance, Financial Services",Anchor Banc is a finance company that provides loan services to small businesses and commercial property owners.,"900,726",,"864,517"
Allied Health Services,https://www.crunchbase.com/organization/allied-health-services,101-250,High,Active,Private,"Houston, Texas, United States","Health Care, Hospital, Nursing and Residential Care, Staffing Agency",Allied Health Services provides nurse staffing and health care personnel for hospitals.,"903,833",,"867,678"
Memorial Drive Presbyterian Church,https://www.crunchbase.com/organization/memorial-drive-presbyterian-church,101-250,High,Active,Private,"Houston, Texas, United States","Communities, Non Profit, Religion",Memorial Drive Presbyterian Church is a religious place for worship.,"904,345",,"868,068"
"Crain, Caton & James",https://www.crunchbase.com/organization/crain-caton-james,101-250,High,Active,Private,"Houston, Texas, United States",Consulting,"Crain, Caton & James is a full-service law firm based in Houston.","907,160",,"870,831"
AFC Transportation,https://www.crunchbase.com/organization/afc-transportation,251-500,High,Active,Private,"Houston, Texas, United States","Railroad, Service Industry, Transportation",AFC Transportation delivers a complete range of solutions and services that drive sustainability in the area of transportation management.,"908,022",,"871,782"
TBC-Brinadd,https://www.crunchbase.com/organization/tbc-brinadd,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Renewable Energy",TBC-Brinadd is an oil & energy company offering fracturing fluid additives.,"908,281",,"871,934"
TSP,https://www.crunchbase.com/organization/tsp-5d0f,101-250,High,Active,Private,"Houston, Texas, United States",Manufacturing,TSP is a logistics company that provides engineered components.,"908,442",,"872,090"
Hobas GRP Pipe Systems and Solutions,https://www.crunchbase.com/organization/hobas-grp-pipe-systems-and-solutions,1001-5000,High,Active,Private,"Houston, Texas, United States","Hydroelectric, Manufacturing, Product Management","HOBAS is a supplier of Pipe for applications such as potable water,waste water, hydropower penstocks, irrigation and drainage.","908,474",,"872,122"
Medical Plus Supplies,https://www.crunchbase.com/organization/medical-plus-supplies,101-250,High,Active,Private,"Houston, Texas, United States","Health Care, Home Health Care, Medical","Medical Plus Supplies specializes in providing respiratory services like oxygen therapy, home ventilators, and diabetic supplies.","910,399",,"874,008"
Volia Software,https://www.crunchbase.com/organization/volia-software,501-1000,High,Active,Private,"Houston, Texas, United States","Information Technology, Software",Volia Software is an IT services company focused on the delivery and support of high value business solutions.,"911,205",,"874,898"
Jetstream of Houston,https://www.crunchbase.com/organization/jetstream-of-houston,101-250,High,Active,Private,"Houston, Texas, United States","Manufacturing, Retail","Jetstream of Houston is a machinery company offering water blasting equipment, parts, and accessories.","912,471",,"876,149"
Haltermann Solutions,https://www.crunchbase.com/organization/haltermann-solutions,501-1000,High,Active,Private,"Houston, Texas, United States","Automotive, Manufacturing, Oil and Gas, Sales",Haltermann Solutions is a fuel manufacturer.,"912,913",,"876,584"
OCS Group,https://www.crunchbase.com/organization/ocs-group-f6df,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Oil and Gas","OCS Group is a leading innovator in the Oil and Gas Industry, providing Commissioning, Inspection and Training services globally.","913,537",,"877,088"
SIA Flexitanks,https://www.crunchbase.com/organization/sia-flexitanks,501-1000,High,Active,Private,"Houston, Texas, United States","Logistics, Manufacturing, Transportation","SIA Flexitanks is the original exhibit manufacturer, offering a complete portfolio of logistics and liquids cargoes to its clientele.","913,557",,"877,107"
Texpo Energy,https://www.crunchbase.com/organization/texpo-energy,101-250,High,Active,Private,"Houston, Texas, United States","Customer Service, Electrical Distribution, Energy","Texpo Energy is a retail electric providing firm that offers electricity, bill payment and customer service.","914,230",,"877,760"
Clear Lake Psychotherapy & Diagnostics,https://www.crunchbase.com/organization/clear-lake-psychotherapy-diagnostics,1001-5000,High,Active,Private,"Houston, Texas, United States","Health Care, Therapeutics, Wellness","Clear Lake Psychotherapy & Diagnostics provides treatment for anxiety, depression, panic disorders, substance abuse, stress, and trauma.","916,053",,"879,549"
Facilities Management Group,https://www.crunchbase.com/organization/facilities-management-group-cc70,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Facility Management, Health Care",Facilities Management Group is a management and consulting group that offers management and advisory services for the healthcare industry.,"917,366",,"880,843"
Pearl Hospitality,https://www.crunchbase.com/organization/pearl-hospitality-82bb,101-250,High,Active,Private,"Houston, Texas, United States",Hospitality,"Pearl Hospitality is a hospitality service company that offers Hotel Operations, Corporate Real Estate, and Development services.","919,585",,"883,020"
"TAS Commercial Concrete Construction, LLC",https://www.crunchbase.com/organization/tas-commercial-concrete-construction-llc,1001-5000,High,Active,Private,"Houston, Texas, United States",Real Estate,"TAS Commercial Concrete Construction, LLC is a commercial concrete contractor .","920,927",,"884,320"
Atlantic Worldwide Shipping,https://www.crunchbase.com/organization/atlantic-worldwide-shipping,101-250,High,Active,Private,"Houston, Texas, United States","Freight Service, Shipping, Transportation","Atlantic Worldwide Shipping is a freight company that provides warehousing, logistics, project cargo, and break bulk services.","921,831",,"885,291"
Northwind Construction,https://www.crunchbase.com/organization/northwind-construction,101-250,High,Active,Private,"Houston, Texas, United States","Building Material, Construction, Manufacturing",Northwinds Construction is providing superior service and high-quality products in commercial and industrial building.,"922,955",,"886,297"
Seba Metals,https://www.crunchbase.com/organization/seba-metals,101-250,High,Active,Private,"Houston, Texas, United States","Manufacturing, Precious Metals, Wholesale","Seba is quality oriented steel distributor and supply company, they work direct with steel mills.","927,119",,"890,357"
PetroGas Piping,https://www.crunchbase.com/organization/petrogas-piping,251-500,High,Active,Private,"Houston, Texas, United States","Logistics, Manufacturing, Oil and Gas, Supply Chain Management, Warehousing","PetroGas Piping is a supplier of piping materials to the oil and gas, hydrocarbons, power and water industries.","927,644",,"890,876"
Lone Star Blower,https://www.crunchbase.com/organization/lone-star-blower,101-250,High,Active,Private,"Houston, Texas, United States","Industrial, Machinery Manufacturing, Manufacturing",Lone Star Blower is a machinery manufacturing company.,"930,941",,"894,111"
Hearts at Home Senior Care,https://www.crunchbase.com/organization/hearts-at-home-senior-care,101-250,High,Active,Private,"Houston, Texas, United States","Elder Care, Health Care, Home Health Care",Hearts at Home Senior Care offers acute and home care assistance along with housekeeping & transportation services to the senior community.,"931,685",,"894,839"
Hot Shot Trucking,https://www.crunchbase.com/organization/hot-shot-trucking,101-250,High,Active,Private,"Houston, Texas, United States",Transportation,"Hot Shot Trucking provides quality shipping services to clients of all stripes, & are particularly adept at working with energy companies.","932,114",,"895,256"
OEM Components,https://www.crunchbase.com/organization/oem-components,101-250,High,Active,Private,"Houston, Texas, United States","Industrial Engineering, Industrial Manufacturing, Manufacturing, Oil and Gas, Product Design",OEM Components is involved in manufacturing machineries and equipment for oil and gas companies.,"933,134",,"896,251"
Ziegler Cooper Architects,https://www.crunchbase.com/organization/ziegler-cooper-architects,101-250,High,Active,Private,"Houston, Texas, United States",Consulting,Ziegler Cooper Architects is an architecture and planning firm operating out of Texas.,"934,236",,"897,412"
Houston Cardiovascular Associates,https://www.crunchbase.com/organization/houston-cardiovascular-associates,101-250,High,Active,Private,"Houston, Texas, United States","Health Care, Hospital, Wellness",Houston Cardiovascular Associates is a healthcare firm that offers coronary artery and peripheral vascular disease services.,"934,866",,"897,945"
Capp Electric Company,https://www.crunchbase.com/organization/capp-electric-company,101-250,High,Active,Private,"Houston, Texas, United States","Commercial, Construction, Electronics, Health Care",Capp Electric Company is an electrical contracting firm that specialises in commercial electrical construction and healthcare facilities.,"939,481",,"902,449"
Trendmaker Homes,https://www.crunchbase.com/organization/trendmaker-homes,101-250,High,Active,Private,"Houston, Texas, United States",Real Estate,Trendmaker Homes is a real estate company that offers home buying and selling services.,"939,667",,"902,630"
Propeller Club of Houston,https://www.crunchbase.com/organization/propeller-club-of-houston,101-250,High,Active,Private,"Houston, Texas, United States","Marine Transportation, Non Profit, Transportation",Propeller Club of Houston is a transportation company that promotes maritime commerce and global trade.,"940,963",,"903,906"
AcenTek,https://www.crunchbase.com/organization/acentek,101-250,High,Active,Private,"Houston, Texas, United States","Internet, ISP, Telecommunications","AcenTek is a telecommunication company that offers residential internet, hosted business voice solutions and ethernet services.","942,455",,"905,459"
Noracom,https://www.crunchbase.com/organization/noracom,501-1000,High,Active,Private,"Houston, Texas, United States","Information Technology, Software, Web Development, Web Hosting","Noracom is an information technology company that specialized in networking, website development and hosting services.","946,266",,"909,196"
Insurance Expert Network,https://www.crunchbase.com/organization/insurance-expert-network,101-250,High,Active,Private,"Houston, Texas, United States","Commercial Insurance, Insurance, Product Design, Property Insurance, Retirement","Insurance Expert Network is an insurance arbitrator that helps in litigation process, insurance consultation, advocacy, and risk management.","946,740",,"909,662"
TGR Industrial Services,https://www.crunchbase.com/organization/tgr-industrial-services,101-250,High,Active,Private,"Houston, Texas, United States","Aerospace, Chemical, Manufacturing, Oil and Gas",TGR Industrial Services is a national provider of Non-Destructive Testing and Stress Relieving Services and the integrity systems.,"948,511",,"911,309"
ThoroVet,https://www.crunchbase.com/organization/thorovet,101-250,High,Active,Private,"Houston, Texas, United States","Health Care, Information Technology, Software, Veterinary",ThoroVet focuses on the development of cloud-based practice management systems for ambulatory equine veterinary practitioners.,"948,818",,"911,694"
MOL Chemical Tankers,https://www.crunchbase.com/organization/mol-chemical-tankers,251-500,High,Active,Private,"Houston, Texas, United States",Transportation,MOL Chemical Tankers is a professional marine ship operator specializing in parcel tanker services for the transportation.,"952,943",,"915,642"
"Koch Specialty Plant Services, LLC",https://www.crunchbase.com/organization/koch-specialty-plant-services-llc,251-500,High,Active,Private,"Houston, Texas, United States",Real Estate,"Koch Specialty Plant Services, LLC is an engineering construction company headquartered in Texas.","954,204",,"916,871"
Delta Corporation,https://www.crunchbase.com/organization/delta-corporation,251-500,High,Active,Private,"Houston, Texas, United States","Industrial, Manufacturing, Mechanical Engineering","Delta Corporation manufactures wellhead equipment, valves, actuators, and flow control products for the oil and gas industry.","954,885",,"917,625"
HughesWattersAskanase,https://www.crunchbase.com/organization/hugheswattersaskanase,101-250,High,Active,Private,"Houston, Texas, United States",Consulting,"HughesWattersAskanase is a law firm headquartered in Houston, Texas.","955,137",,"917,785"
Haddad Jewelers,https://www.crunchbase.com/organization/haddad-jewelers,251-500,High,Active,Private,"Houston, Texas, United States","E-Commerce Platforms, Jewelry, Retail",Haddad Jewelers is a Jewelry store in Texas.,"956,278",,"918,905"
BGS Energy Services,https://www.crunchbase.com/organization/bgs-energy-services,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Industrial, Oil and Gas",BGS Energy Services is an energy technology company that offers onshore and offshore solutions for oil and gas industry.,"958,173",,"920,851"
The HEART Program,https://www.crunchbase.com/organization/the-heart-program,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Education, Non Profit, Training","The HEART Program is a non-profit organization that offers education, training, housing, and employment programs for disabled people.","960,656",,"923,282"
Hunton Trane,https://www.crunchbase.com/organization/hunton-trane,101-250,High,Active,Private,"Houston, Texas, United States","Facilities Support Services, Heating, Ventilation, and Air Conditioning (HVAC), Industrial Manufacturing, Manufacturing","Hunton Trane is an equipment manufacturer & designer of heating, air conditioning systems, building integration, & control systems.","963,259",,"925,742"
Pinnacle Engineering,https://www.crunchbase.com/organization/pinnacle-engineering-84bf,101-250,High,Active,Private,"Houston, Texas, United States",Oil and Gas,Pinnacle Engineering provides practical and complete engineering services to the offshore oil and gas industry.,"966,311",,"928,722"
Modu Resources,https://www.crunchbase.com/organization/modu-resources,101-250,High,Active,Private,"Houston, Texas, United States",Oil and Gas,"ModuResources provides quality and cost-effective technical and engineering consultancy, and training services.","966,735",,"929,139"
Houston Healthspan Innovation Group,https://www.crunchbase.com/organization/houston-healthspan-innovation-group,101-250,High,Active,Private,"Houston, Texas, United States","Biotechnology, Health Care, Life Science",Houston Healthspan Innovation Group is a life science accelerator that aims on the development of regenerative medicine and novel therapies.,"966,995",,"929,391"
Maxxam,https://www.crunchbase.com/organization/maxxam,1001-5000,High,Active,Private,"Houston, Texas, United States","Commercial, Commercial Real Estate, Real Estate",Maxxam is a commercial real estate company.,"967,784",,"930,160"
Litton,https://www.crunchbase.com/organization/litton,1001-5000,High,Active,Private,"Houston, Texas, United States","Banking, Financial Services",Litton is a financial services company that offers credit risk management services.,"969,977",,"932,300"
Top Gun Security & Investigations,https://www.crunchbase.com/organization/top-gun-security-investigations,251-500,High,Active,Private,"Houston, Texas, United States","Information Technology, Security",Top Gun Security & Investigations is a security and investigations company providing security officer and K-9 security services.,"970,113",,"932,434"
Made Ya Smile,https://www.crunchbase.com/organization/made-ya-smile,101-250,High,Active,Private,"Houston, Texas, United States","Dental, Hospital","Made Ya Smile Dental provides comprehensive family dentistry in Houston, Texas.","970,987",,"933,296"
"Martin, Disiere, Jefferson & Wisdom, LLP",https://www.crunchbase.com/organization/martin-disiere-jefferson-wisdom-llp,101-250,High,Active,Private,"Houston, Texas, United States",Consulting,"Martin, Disiere, Jefferson & Wisdom, LLP is a Texas-based law firm.","971,546",,"933,931"
Lone Star Thermal Engineering,https://www.crunchbase.com/organization/lone-star-thermal-engineering,251-500,High,Active,Private,"Houston, Texas, United States","Industrial, Manufacturing, Mechanical Engineering","Lone Star Thermal Engineering is a heat exchanger engineering firm that provides mechanical, thermal, and metallurgical engineering.","973,413",,"935,682"
Kinghaven Counseling Group,https://www.crunchbase.com/organization/kinghaven-counseling-group,101-250,High,Active,Private,"Houston, Texas, United States","Child Care, Consulting, Elder Care, Health Care, Medical, Underserved Children","Kinghaven Counseling Group offers medication management, behavioral healthcare & psychological therapy solutions to individuals & families.","974,263",,"936,504"
Star Precision Fabricating Limited,https://www.crunchbase.com/organization/star-precision-fabricating-limited,101-250,High,Active,Private,"Houston, Texas, United States","Machinery Manufacturing, Manufacturing, Oil and Gas","Star Precision offers manufacturing services local and worldwide in quality precision metal fabrication, precision machining and more.","974,315",,"936,652"
Coats Rose,https://www.crunchbase.com/organization/coats-rose,101-250,High,Active,Private,"Houston, Texas, United States",Consulting,Coats Rose is a law firm that offers legal services in business transactions and litigation law.,"975,836",,"938,030"
Quantum PC Support,https://www.crunchbase.com/organization/quantum-pc-support,101-250,High,Active,Private,"Houston, Texas, United States",Software,One of the reputed Tech Support Firms.,"976,049",,"938,244"
BEI Engineers,https://www.crunchbase.com/organization/bei-engineers,251-500,High,Active,Private,"Houston, Texas, United States","Consulting, Energy, Renewable Energy, Staffing Agency",BEI Engineers is an oil & energy company specializing in technical staffing and engineering services.,"979,203",,"941,319"
