ok Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Headquarters Location,Company Type,Operating Status,Industries,Description,CB Rank (Organization),Stage,CB Rank (Company)
Grocers List,https://www.crunchbase.com/organization/grocers-list,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Internet, Software, Software Engineering","Grocers List offers tools for recipe creators to grow and monetize their audience, turning Instagram posts into shoppable ingredient lists.","390,103",,"369,912"
WayBio,https://www.crunchbase.com/organization/waybio,2024-10-28,day,"Cambridge, Massachusetts, United States",For Profit,Active,"Biotechnology, Genetics, Life Science, Manufacturing","Biotech, Life Sciences, Plasmids","390,216",,"370,015"
Peren AI,https://www.crunchbase.com/organization/peren-ai,2024-03-16,day,"Cambridge, Massachusetts, United States",For Profit,Active,"Health Care, Information Technology, Medical, Software","SaaS, Medical Data Platforms","390,273",,"370,071"
HealthTOM,https://www.crunchbase.com/organization/healthtom,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Health Care, Information Technology, Software","HealthTOM delivers AI-powered PACS, VNA, and imaging solutions, enhancing radiology workflows with secure, scalable, and flexible deployment","403,993",,"383,114"
Strata,https://www.crunchbase.com/organization/strata-06ea,2025-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,,"SaaS, ipaas, B2B, Integration Platform","408,345",,"387,256"
RentWorthy,https://www.crunchbase.com/organization/rentworthy,2023-01-28,day,"Boston, Massachusetts, United States",For Profit,Active,"Consumer Software, Enterprise Software, Marketplace, Peer to Peer",End-to-end platform for rental businesses and individuals to rent or lend items in their communities.,"408,790",,"387,684"
Neela Biotech,https://www.crunchbase.com/organization/neela-biotech,2025-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,Manufacturing,"Neela Biotech Produces fuel from waste using AI and synthetic biology, leveraging existing biogas and HEFA refinery infrastructure.","409,022",,"387,904"
Krevera,https://www.crunchbase.com/organization/krevera,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Industrial, Machine Learning, Plastics and Rubber Manufacturing","Krevera offers visual AI systems for plastic injection molding to detect, analyze, and defects in real time to optimize production.","425,105",,"403,309"
Externi,https://www.crunchbase.com/organization/externi,2024-09-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Health Care, Online Portals",Externi is a professional network for healthcare careers and talent development.,"433,478",,"411,307"
Respired.io,https://www.crunchbase.com/organization/respired-io,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Marketing, Software","Respired.io: AI-powered social media strategy tool, making digital outreach simple and effective for all businesses.","440,910",,"418,418"
Panoplia Laboratories,https://www.crunchbase.com/organization/panoplia-laboratories,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,Biotechnology,Panoplia Laboratories is a biotechnology research company.,"444,255",,"421,613"
Agrichat AI,https://www.crunchbase.com/organization/agrichat-ai,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Chatbot, Information Technology, Software",Agrichat AI is a Software Development firm offering AI based chatbots for farmers service platform.,"448,599",,"425,792"
SkilldLabs,https://www.crunchbase.com/organization/skilldlabs,2023-08-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Professional Services, Recruiting, Software",Skilldlabs is a leading nearshore staff augmentation firm for technology startups,"466,791",,"443,235"
InBuzz,https://www.crunchbase.com/organization/inbuzz,2025-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Productivity Tools, Professional Networking",Build team collaboration with AI-powered benchmarks.,"470,715",,"447,018"
Bizbe,https://www.crunchbase.com/organization/bizbe,2024-01-01,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Finance, SaaS","AI-powered Due Diligence for M&A and PE firms—faster insights, smarter decisions, more closed deals. We Are Automating M&A.","477,256",,"453,297"
QuantumZero,https://www.crunchbase.com/organization/quantumzero,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Big Data, Cloud Security, Information Technology, Software",Deep-Data Technology Compliance and Security firm,"482,215",,"458,047"
Deal Flow Xchange,https://www.crunchbase.com/organization/deal-flow-xchange,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Banking, Financial Services, FinTech, Marketplace","Deal Flow Xchange connects founders, investors, and lenders to share and access capital opportunities through a private deal platform.","483,627",,"459,414"
Orca DB,https://www.crunchbase.com/organization/orca-db,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Information Technology, Software, Training","Orca DB provides a memory-driven MLOps platform for adaptive AI, enabling models to evolve with data and support mass customization.","489,879",,"465,432"
Aixa Bio,https://www.crunchbase.com/organization/aixa-bio,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Biotechnology, Health Care, Software",Aixa develops AI-driven biotech software for healthspan improvement through predictive genomics modeling.,"502,549",,"477,631"
leaseClub,https://www.crunchbase.com/organization/leaseclub,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Leasing, Marketplace, Mobile Apps, Peer to Peer, Real Estate, Rental Property",leaseClub is a marketplace for community-based peer-to-peer leasing.,"508,470",,"483,336"
Tideshift Capital Group,https://www.crunchbase.com/organization/tideshift-capital-group,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"B2B, Software","Tideshift Capital Group is a growth-focused, B2B vertical software and tech-enabled services businesses in the lower-middle market.","511,489",,"486,252"
Datavise,https://www.crunchbase.com/organization/datavise-f94d,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Big Data, Business Intelligence, Chatbot, Consulting, Data Management, Data Visualization, Generative AI, Machine Learning, Natural Language Processing, Predictive Analytics",Datavise is a leading service and consulting company that helps reinventing your company with the power of data and AI.,"533,552",,"507,505"
Gradium Holdings,https://www.crunchbase.com/organization/gradium-holdings,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Finance, Financial Services, Venture Capital",Gradium Holdings is a private investment firm partnering with small business owners to build enduring platforms.,"535,981",,"509,862"
One Vector,https://www.crunchbase.com/organization/one-vector,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,,One Vector is the premium technology partner of the life sciences sector.,"537,386",,"511,230"
Astera Search,https://www.crunchbase.com/organization/astera-search,2025-01-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Consulting, Health Care, Life Science, Medical Device, Pharmaceutical, Recruiting, Staffing Agency",Staffing and Headhunting services to the life sciences industry,"540,844",,"514,561"
Motivera Search Group,https://www.crunchbase.com/organization/motivera-search-group,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Accounting, Finance, Human Resources, Information Technology",Motivera Search Group is a national recruiting firm with franchise opportunities.,"541,008",,"514,722"
Commslayer,https://www.crunchbase.com/organization/commslayer,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Data Integration, Desktop Apps, Finance, Social CRM","Commslayer offers platform for AI-powered helpdesk, social media moderation, and customer support automation.","546,151",,"519,666"
Ovelle,https://www.crunchbase.com/organization/ovelle,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Fertility, Health Care",Ovelle creates ovary and egg cells from stem cells to support infertility research and treatment.,"562,096",,"535,089"
Evoworks Bio,https://www.crunchbase.com/organization/evoworks-bio,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Machinery Manufacturing, Manufacturing",Evoworks is a Cambridge-based biotechnology startup.,"578,343",,"550,822"
CipherSonic Labs,https://www.crunchbase.com/organization/ciphersonic-labs,2024-01-08,day,"Cambridge, Massachusetts, United States",For Profit,Active,Software,Enabling secure data sharing and processing,"588,411",,"560,569"
Ladder Internships,https://www.crunchbase.com/organization/ladder-internships,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,Education,Ladder internships empowers high school students with strategic startup internships and the chance to build a professional network.,"598,104",,"570,001"
MyAtlas,https://www.crunchbase.com/organization/myatlas-174b,2023-10-04,day,"Boston, Massachusetts, United States",For Profit,Active,,"MyAtlas is a mental health app combining AI and neuroscience to deliver precise, personalized behavioral health interventions","602,534",,"574,299"
Parama Care,https://www.crunchbase.com/organization/parama-care,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Health Care, Nutrition, Wellness","Parama Care provides unique approach targets end-to-end health, nutrition, fitness and wellness so that no chronic health conditions.","607,660",,"579,298"
White Shoe,https://www.crunchbase.com/organization/white-shoe,2025-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Generative AI, Legal Tech",Legal AI SaaS Application,"614,834",,"586,245"
American Data Science,https://www.crunchbase.com/organization/american-data-science,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Analytics, Artificial Intelligence (AI), Data Integration, GPU, Software",American Data Science is an AI and data science company that provisions GPU-powered notebook servers with integrated AI agents.,"626,339",,"597,409"
Undergraduation,https://www.crunchbase.com/organization/undergraduation,2023-04-01,month,"Boston, Massachusetts, United States",For Profit,Active,"EdTech, Education, Higher Education",Peer to Peer College guidance platform,"627,239",,"598,291"
Zifino,https://www.crunchbase.com/organization/zifino,2023-11-01,day,"Boston, Massachusetts, United States",For Profit,Active,"Cyber Security, Information Technology, Software","Zifino is an AI-driven cybersecurity platform that automates threat detection and remediation, greatly reducing business risk.","638,767",,"609,509"
ChargeUp AI,https://www.crunchbase.com/organization/chargeup-ai,2023-08-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Machine Learning, Software","ChargeUp AI provides AI-powered tools that automate retail deduction disputes, recovery tracking, and claim resolution.","644,539",,"615,112"
KT Innovations,https://www.crunchbase.com/organization/kt-innovations,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Health Care, Life Science, Medical Device",KT Innovations is a provider of medical devices that aims to prevent costly & life threatening urinary tract and skin infections.,"673,033",,"642,825"
Pet Booth,https://www.crunchbase.com/organization/pet-booth,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Pet, Software","Pet Booth is a service for creating your own amazing AI pet portraits, photos, and artwork. It's fast, easy, and fun!","678,277",,"647,923"
HUED Mamas Co.,https://www.crunchbase.com/organization/hued-mamas-co,2023-02-01,day,"Boston, Massachusetts, United States",For Profit,Active,"Fertility, Nutrition",HUED Mamas Co offers a variety of services to support Women of Color (WOC) on their journey to mamahood.,"678,326",,"647,971"
Loopa,https://www.crunchbase.com/organization/loopa-1478,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Furniture, Retail, Software, Test and Measurement",Loopa is a retail market for furnitures offering comparison platform for products across various brands.,"693,542",,"662,743"
Zal.ai,https://www.crunchbase.com/organization/zal-ai,2023-04-19,day,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), SaaS, Software",Zal.ai is a software development company that powers people with cutting-edge learning science and artificial intelligence.,"696,778",,"665,899"
DeepkinetiX,https://www.crunchbase.com/organization/deepkinetix,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Health Care, Medical, Software",DeepkinetiX is a biotech firm leveraging AI and digital twin technology to enhance drug development and reduce R&D timelines.​,"700,570",,"669,602"
PhySaaS,https://www.crunchbase.com/organization/physaas,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,Information Technology,"PhySaaS provides organizations with a secure, seamless, and state-of-the-art, Physical Security solution.","757,219",,"724,784"
Carecove,https://www.crunchbase.com/organization/carecove,2024-05-03,day,"Boston, Massachusetts, United States",For Profit,Active,"E-Commerce, Electronics, FinTech, Health Care, Internet, Payments",Carecove is a platform that allows family caregivers to earn money through affiliate marketing.,"808,523",,"774,824"
Orama Technologies Inc,https://www.crunchbase.com/organization/orama-technologies-inc,2024-05-02,day,"Boston, Massachusetts, United States",For Profit,Active,Government,Stealth - Defense,"827,518",,"793,360"
FandlGagnon,https://www.crunchbase.com/organization/fandlgagnon,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Accounting, Financial Services, Professional Services",FandlGagnon is a provider of state and local tax services aimed at large to midsized businesses.,"880,162",,"844,887"
JESR,https://www.crunchbase.com/organization/jesr,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Information Technology, Software",JESR provides an investor due diligence platform for startup founders.,"886,250",,"850,866"
Scout Ahead,https://www.crunchbase.com/organization/scout-ahead,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Generative AI, Information Technology, Recruiting, Software",Real-Time Insights for Your Job Search,"892,697",,"857,156"
Settle,https://www.crunchbase.com/organization/settle-16b4,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Internet, Software, Web Development",Settle is an AI-powered platform that simplifies the RFx response process.,"909,316",,"873,419"
Buyer Experience,https://www.crunchbase.com/organization/buyer-experience,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Enterprise Software, Software, Software Engineering",BuyerExperience helps companies gather buyer feedback to understand why deals are won or lost and identify opportunities for deal recovery.,"915,431",,"879,398"
OptoIntel,https://www.crunchbase.com/organization/optointel,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Health Care, Medical, Medical Device","OptoIntel is a medtech firm that provides AI-powered oculomics to detect diseases early, improve timely, and efficient care.","955,278",,"918,450"
Rebel Media Agency,https://www.crunchbase.com/organization/rebel-media-agency-6d77,2023-07-01,month,"Cambridge, Massachusetts, United States",For Profit,Active,"Consulting, Marketing, Public Relations, SEO, Web Development","Rebel Media Agency is a strategic marketing firm that offer consulting, SEO, PR, and web development services.","987,474",,"950,024"
EB Shaw Securities,https://www.crunchbase.com/organization/eb-shaw-securities,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Finance, Financial Services, Venture Capital","EB Shaw Securities offers fund placements, mergers, and acquisition services.","996,738",,"959,083"
Unravel Healthcare,https://www.crunchbase.com/organization/unravel-healthcare,2024-05-20,day,"Boston, Massachusetts, United States",For Profit,Active,"Child Care, Consulting, Fertility, Health Care, Hospital, Management Consulting, Nursing and Residential Care, SaaS",Unravel Healthcare aims to create a world where all women and birthing people have dignity and safety in childbirth.,"999,599",,"961,896"
Ranger Software Group,https://www.crunchbase.com/organization/ranger-software-group,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Business Development, Information Technology, Software",Ranger Software Group is a company that offers business services.,"1,007,967",,"970,109"
Verifex,https://www.crunchbase.com/organization/verifex,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Email, Email Marketing, Software",Verifex is a fast and reliable email verification tool that ensures your messages get delivered.,"1,024,798",,"986,587"
Kind Kiosk,https://www.crunchbase.com/organization/kind-kiosk,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Charity, Events, Financial Services","Kind Kiosk offers customized kiosks to boost donations for nonprofits, charities, and businesses.","1,028,776",,"990,481"
Fastfood,https://www.crunchbase.com/organization/fastfood,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Dietary Supplements, Food and Beverage, Nutrition, Retail",Fastfood is a retail store that specializes in energy drink products.,"1,030,531",,"992,194"
Service Buddy,https://www.crunchbase.com/organization/service-buddy,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Retail, Retail Technology, SaaS, Software",AI-Powered Vertical SaaS for Flooring Retailers,"1,055,424",,"1,016,564"
DHA-1,https://www.crunchbase.com/organization/dha-1,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Consulting, Financial Services, Insurance, InsurTech, Property Insurance","DHA-1 offers consulting and process reengineering for insurance and reinsurance sectors, focusing on digitization and workflow optimization.","1,081,472",,"1,042,079"
SureSteps,https://www.crunchbase.com/organization/suresteps,2023-02-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Customer Service, Information Technology, Software, Technical Support",SureSteps is a customer service software company that assists businesses in providing clear and efficient customer support.,"1,086,574",,"1,047,057"
Bantry Partners,https://www.crunchbase.com/organization/bantry-partners,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Advice, Asset Management, Consulting","Bantry Partners offers strategy consulting, focusing on growth strategy and transaction support.","1,115,213",,"1,075,161"
Indecent.AI,https://www.crunchbase.com/organization/indecent-ai,2024-03-01,month,"Boston, Massachusetts, United States",For Profit,Active,,AI-driven erotic storytelling platform,"1,210,780",,"1,169,070"
Resolute CS,https://www.crunchbase.com/organization/resolute-cs,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Consulting, Network Security, Service Industry",Resolute CS is a technology firm that is redefining the connection sector.,"1,219,095",,"1,177,236"
Digital Health Works Inc.,https://www.crunchbase.com/organization/digital-health-works,2023-11-23,day,"Boston, Massachusetts, United States",For Profit,Active,"Health Care, Health Diagnostics, Medical, Medical Device, Therapeutics",Commercialization agency for digital health and med tech ventures,"1,316,227",,"1,272,669"
Banking & Payments Group,https://www.crunchbase.com/organization/banking-payments-group,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Banking, Management Consulting, Professional Services",Banking & Payments Group offers management consulting services for the banking and payments industry.,"1,363,498",,"1,319,114"
Distilyze,https://www.crunchbase.com/organization/distilyze,2023-09-01,month,"Boston, Massachusetts, United States",For Profit,Active,Analytics,Distilyze is an integrated analytics platform for real estate that connects management system tools into a single ecosystem.,"1,367,195",,"1,322,747"
Brezio,https://www.crunchbase.com/organization/brezio,2024-05-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Consulting, Software, Web Development",Technology accelerator for startups,"1,382,892",,"1,338,188"
Kinsome,https://www.crunchbase.com/organization/kinsome-254b,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Information Technology, Internet, SaaS",Kinsome's goal is to make senior citizens' lives happier by strengthening family ties across generations.,"1,387,481",,"1,342,695"
Jewelss.co,https://www.crunchbase.com/organization/jewelss-co,2024-04-12,day,"Boston, Massachusetts, United States",For Profit,Active,FinTech,Stock exchange for luxury watches,"1,504,966",,"1,458,311"
Adsignal,https://www.crunchbase.com/organization/adsignal,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Analytics, Internet, Online Portals","Adsignal offers advertising analytics and insights for platforms like Facebook, TikTok, and YouTube.","1,506,610",,"1,459,926"
Gritte,https://www.crunchbase.com/organization/gritte,2024-11-17,day,"Boston, Massachusetts, United States",For Profit,Active,"Information Technology, Wellness",Health and Wellness Website,"1,581,914",,"1,534,151"
medikana,https://www.crunchbase.com/organization/medikana,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Information Technology, Software, Software Engineering","Medikana automates global medical device commercialization, connecting manufacturers with distributors, focusing on Latin America.","1,596,654",,"1,548,642"
cv4job.com,https://www.crunchbase.com/organization/cv4job-com,2025-01-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Career Planning, Human Resources, Professional Services, SaaS, Software Engineering",Get instant CV scoring (0-100%) and actionable improvements. We analyze CVs to boost your job search success by up to 70%.,"1,649,071",,"1,600,329"
American Offshore Wind Academy,https://www.crunchbase.com/organization/american-offshore-wind-academy,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,,American Offshore Wind Academy is a pioneering initiative driven by senior leaders.,"1,650,893",,"1,602,120"
1099.health,https://www.crunchbase.com/organization/1099-health,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,Insurance,1099.health is an Insurance agency.,"1,711,048",,"1,661,417"
Monday Morning,https://www.crunchbase.com/organization/monday-morning-78c0,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Business Development, Consulting","Monday Morning helps businesses establish, refine, and accelerate go-to-market strategies.","1,754,083",,"1,703,847"
Investara Financial,https://www.crunchbase.com/organization/investara-financial,2024-04-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Consulting, Credit, Financial Services","Investara Financial offers financial consulting, credit restoration, financial education, and multi-asset investment management.","1,809,684",,"1,758,655"
Bifrost Advisors,https://www.crunchbase.com/organization/bifrost-advisors,2023-01-01,day,"Boston, Massachusetts, United States",For Profit,Active,"Consulting, Professional Services",Bifrost is an innovative strategic advisory consulting and investment firm for startups and SMEs,"1,884,023",,"1,831,974"
Calculate Alpha,https://www.crunchbase.com/organization/calculate-alpha,2023-06-11,day,"Boston, Massachusetts, United States",For Profit,Active,"Finance, Financial Services, Personal Finance","At Calculate Alpha, our mission is to empower investors by seamlessly integrating quantitative valuation metrics into passive investing.","1,901,614",,"1,849,357"
GsoftApp,https://www.crunchbase.com/organization/gsoftapp,2024-03-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Apps, Database, SaaS, Software",GsoftApp offers a low-code platform for rapid enterprise application development with no-code building blocks and customization options.,"1,937,717",,"1,884,968"
Adriana Lacy Consulting,https://www.crunchbase.com/organization/adriana-lacy-consulting,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Consulting, Content Creators, Digital Marketing, SEO, Social Media Management, Web Design, Web Development","Adriana Lacy Consulting provides digital content consulting, social media management, and multimedia solutions to grow digital audiences.","1,995,462",,"1,941,953"
Boston Blockchain Ventures,https://www.crunchbase.com/organization/boston-blockchain-ventures,2024-04-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Blockchain, Decentralized Finance (DeFi), Finance, Smart Contracts, Venture Capital, Web3",Boston Blockchain Ventures is an incubator that fosters new companies and new ideas in the blockchain industry.,"2,046,968",,"1,992,819"
50 Franklin,https://www.crunchbase.com/organization/50-franklin,2025-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Commercial Real Estate, Coworking, Real Estate","50 Franklin offers private and team offices, virtual office solutions, and state-of-the-art meeting rooms.","2,078,454",,"2,023,888"
Exa Biosciences,https://www.crunchbase.com/organization/exa-biosciences,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Medical",Exa Biosciences helps powering the therapeutic biologics next generation by building the infrastucture.,"2,100,939",,"2,046,074"
CallGenie,https://www.crunchbase.com/organization/callgenie,2024-06-01,day,"Boston, Massachusetts, United States",For Profit,Active,Software,Turn every call into a strategic advantage,"2,101,063",,"2,046,210"
F15 Media,https://www.crunchbase.com/organization/f15-media,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,SEM,F15 Media is an advertising services platform.,"2,153,084",,"2,097,551"
Verisense Health,https://www.crunchbase.com/organization/verisense-health,2023-01-01,month,"Cambridge, Massachusetts, United States",For Profit,Active,"Sensor, Software, Wearables","Verisense Health offers a wearable sensing platform for clinical trials and research, including the Verisense Digital Health Panel.","2,232,216",,"2,175,696"
The House of Fraud,https://www.crunchbase.com/organization/the-house-of-fraud,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Communities, Employment, Payments","The House of Fraud connects talents with fraud, trust, payments, and risk job opportunities.","2,349,174",,"2,291,099"
Aesthetics360,https://www.crunchbase.com/organization/aesthetics360,2024-04-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Medical","AI platform, healthcare, aesthetic medicine, transcription, documentation, consultation, sales, white-labeled, integrated tools","2,354,150",,"2,296,013"
Clue Content,https://www.crunchbase.com/organization/clue-content,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Marketing, Service Industry",Clue Content provides media and content services.,"2,430,486",,"2,371,388"
Marathon,https://www.crunchbase.com/organization/marathon-tv,2023-04-28,day,"Boston, Massachusetts, United States",For Profit,Active,"Apps, Mobile Apps, Software, TV","Marathon is a social platform for TV enthusiasts to explore, log, and discuss shows.","2,442,083",,"2,382,826"
Novastra Therapeutics,https://www.crunchbase.com/organization/novastra-therapeutics,2025-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Biotechnology, Pharmaceutical, Therapeutics","Novastra Therapeutics is a Boston-based, clinical-stage biotech company advancing whole-cell nanoparticle cancer vaccines.","2,448,006",,"2,388,680"
ivu.ai,https://www.crunchbase.com/organization/ivu-ai,2024-01-01,month,"Cambridge, Massachusetts, United States",For Profit,Active,,iVu.Ai is an AI-driven conversational search engine that delivers accurate and detailed answers using advanced NLP) and ML algorithms.,"2,481,931",,"2,422,173"
JRH Advisory,https://www.crunchbase.com/organization/jrh-advisory,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Consulting, Information Technology, Management Consulting","JRH Advisory offers CIO advisory, data strategy, and technology blueprinting services.","2,486,961",,"2,427,137"
Gavagan Law LLC,https://www.crunchbase.com/organization/gavagan-law-llc,2023-08-10,day,"Boston, Massachusetts, United States",For Profit,Active,,Gavagan Law represents injured Massachusetts residents in accidents and personal injury matters.,"2,593,346",,"2,532,052"
Twin Oak ETF Company,https://www.crunchbase.com/organization/twin-oak-etf-company,2023-12-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Asset Management, FinTech, Hedge Funds","A FinTech building scalable, tax aware investment solutions","2,784,120",,"2,720,074"
PortalTrac,https://www.crunchbase.com/organization/portaltrac,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Apps, Artificial Intelligence (AI), Information Technology",PortalTrac offers mobile app for ServiceStack projects.,"2,933,307",,"2,866,847"
COIO,https://www.crunchbase.com/organization/coio-b0d1,2024-05-03,day,"Boston, Massachusetts, United States",For Profit,Active,Software,"COIO provides AI-powered tools that help teams explore topics, generate insights, and enhance collaborative thinking.","2,969,157",,"2,902,054"
StudentGuided,https://www.crunchbase.com/organization/studentguided,2024-10-01,day,"Boston, Massachusetts, United States",For Profit,Active,"EdTech, Education, Marketplace",Connecting high school students with undergrads at their dream colleges for personalized mentoring,"3,014,485",,"2,946,522"
Talent Apothecary,https://www.crunchbase.com/organization/talent-apothecary,2023-03-04,day,"Boston, Massachusetts, United States",For Profit,Active,"Human Resources, Information Technology, Management Consulting, SaaS, Skill Assessment",Talent Management Consultancy Firm,"3,040,978",,"2,972,513"
Forma Running,https://www.crunchbase.com/organization/forma-running,2024-01-03,day,"Boston, Massachusetts, United States",For Profit,Active,,Running Form Analysis,"3,057,339",,"2,988,579"
Digital Trust Group,https://www.crunchbase.com/organization/digital-trust-group,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Computer, Network Security","Digital Trust Group is an advancing trusted digital engagements, ensuring the safety and integrity of data platform.","3,082,534",,"3,013,268"
Prioriwise,https://www.crunchbase.com/organization/prioriwise,2024-11-08,day,"Boston, Massachusetts, United States",For Profit,Active,,Prioriwise is a software company that specializes in the fields of data-driven productivity.,"3,095,286",,"3,025,762"
Cambium AI,https://www.crunchbase.com/organization/cambium-ai,2025-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Analytics, Artificial Intelligence (AI), Software","Cambium AI provides a platform for creating insights, metrics, and analytics.","3,122,783",,"3,052,636"
JigsawML,https://www.crunchbase.com/organization/jigsawml,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Machine Learning, Software","JigsawML offers an AI-powered platform for cloud visualization, asset management, and automated infrastructure diagrams.","3,195,555",,"3,123,748"
Uplvl,https://www.crunchbase.com/organization/uplvl,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Compliance, Real Estate, Software, Training","Uplvl offers affordable housing resources, focusing on training, administration, and software support.","3,223,763",,"3,151,225"
Variable Machines,https://www.crunchbase.com/organization/variable-machines,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,,Industrial Manufacturing,"3,237,058",,"3,164,112"
Harmless Technologies,https://www.crunchbase.com/organization/harmless-technologies,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Information Technology, Internet, Software",Harmless Technologies is a tech company still operating in stealth mode.,"3,287,917",,"3,213,514"
